PAR25CD,PAR25NM,PAR25NMW,LAD25CD,LAD25NM,LAD25NMW,ObjectId
E04000253,Brierton,,E06000001,Hartlepool,,1
E04000254,Claxton,,E06000001,Hartlepool,,2
E04000255,Dalton Piercy,,E06000001,Hartlepool,,3
E04000258,Hart,,E06000001,Hartlepool,,4
E04000259,Newton Bewley,,E06000001,Hartlepool,,5
E04000260,Headland,,E06000001,Hartlepool,,6
E04013151,Elwick,,E06000001,Hartlepool,,7
E04013152,Wynyard,,E06000001,Hartlepool,,8
E04013312,Greatham,,E06000001,Hartlepool,,9
E04000262,Stainton and Thornton,,E06000002,Middlesbrough,,10
E04013307,Nunthorpe,,E06000002,Middlesbrough,,11
E04000263,Guisborough,,E06000003,Redcar and Cleveland,,12
E04000264,Lockwood,,E06000003,Redcar and Cleveland,,13
E04000265,Loftus,,E06000003,Redcar and Cleveland,,14
E04000266,"Saltburn, Marske and New Marske",,E06000003,Redcar and Cleveland,,15
E04000267,Skelton and Brotton,,E06000003,Redcar and Cleveland,,16
E04000268,Aislaby,,E06000004,Stockton-on-Tees,,17
E04000269,Carlton,,E06000004,Stockton-on-Tees,,18
E04000272,Elton,,E06000004,Stockton-on-Tees,,19
E04000275,Ingleby Barwick,,E06000004,Stockton-on-Tees,,20
E04000277,Longnewton,,E06000004,Stockton-on-Tees,,21
E04000279,Newsham,,E06000004,Stockton-on-Tees,,22
E04000283,Thornaby,,E06000004,Stockton-on-Tees,,23
E04000284,Wolviston,,E06000004,Stockton-on-Tees,,24
E04000286,Billingham,,E06000004,Stockton-on-Tees,,25
E04012066,Castlelevington,,E06000004,Stockton-on-Tees,,26
E04012067,Egglescliffe,,E06000004,Stockton-on-Tees,,27
E04012068,Hilton,,E06000004,Stockton-on-Tees,,28
E04012069,Kirklevington,,E06000004,Stockton-on-Tees,,29
E04012070,Maltby,,E06000004,Stockton-on-Tees,,30
E04012071,Preston-on-Tees,,E06000004,Stockton-on-Tees,,31
E04012072,Redmarshall,,E06000004,Stockton-on-Tees,,32
E04012073,Stillington and Whitton,,E06000004,Stockton-on-Tees,,33
E04012074,Yarm,,E06000004,Stockton-on-Tees,,34
E04012954,Grindon and Thorpe Thewles,,E06000004,Stockton-on-Tees,,35
E04012955,Wynyard,,E06000004,Stockton-on-Tees,,36
E04000288,Barmpton,,E06000005,Darlington,,37
E04000289,Bishopton,,E06000005,Darlington,,38
E04000290,Brafferton,,E06000005,Darlington,,39
E04000291,Coatham Mundeville,,E06000005,Darlington,,40
E04000292,Denton,,E06000005,Darlington,,41
E04000293,East and West Newbiggin,,E06000005,Darlington,,42
E04000294,Great Burdon,,E06000005,Darlington,,43
E04000295,Great Stainton,,E06000005,Darlington,,44
E04000296,Heighington,,E06000005,Darlington,,45
E04000297,High Coniscliffe,,E06000005,Darlington,,46
E04000298,Houghton le Side,,E06000005,Darlington,,47
E04000300,Killerby,,E06000005,Darlington,,48
E04000301,Little Stainton,,E06000005,Darlington,,49
E04000302,Low Coniscliffe and Merrybent,,E06000005,Darlington,,50
E04000452,Pocklington,,E06000011,East Riding of Yorkshire,,51
E04000453,Pollington,,E06000011,East Riding of Yorkshire,,52
E04000454,Preston,,E06000011,East Riding of Yorkshire,,53
E04000455,Rawcliffe,,E06000011,East Riding of Yorkshire,,54
E04000456,Reedness,,E06000011,East Riding of Yorkshire,,55
E04000457,Rimswell,,E06000011,East Riding of Yorkshire,,56
E04000458,Rise,,E06000011,East Riding of Yorkshire,,57
E04000459,Riston,,E06000011,East Riding of Yorkshire,,58
E04000460,Roos,,E06000011,East Riding of Yorkshire,,59
E04000461,Routh,,E06000011,East Riding of Yorkshire,,60
E04000462,Rowley,,E06000011,East Riding of Yorkshire,,61
E04000463,Rudston,,E06000011,East Riding of Yorkshire,,62
E04000464,Sancton,,E06000011,East Riding of Yorkshire,,63
E04000465,Seaton,,E06000011,East Riding of Yorkshire,,64
E04000466,Seaton Ross,,E06000011,East Riding of Yorkshire,,65
E04000467,Shipton Thorpe,,E06000011,East Riding of Yorkshire,,66
E04000468,Sigglesthorne,,E06000011,East Riding of Yorkshire,,67
E04000469,Skeffling,,E06000011,East Riding of Yorkshire,,68
E04000470,Skerne and Wansford,,E06000011,East Riding of Yorkshire,,69
E04000471,Skidby,,E06000011,East Riding of Yorkshire,,70
E04000472,Skipsea,,E06000011,East Riding of Yorkshire,,71
E04000473,Skirlaugh,,E06000011,East Riding of Yorkshire,,72
E04000475,Sledmere,,E06000011,East Riding of Yorkshire,,73
E04000476,Snaith and Cowick,,E06000011,East Riding of Yorkshire,,74
E04000477,South Cave,,E06000011,East Riding of Yorkshire,,75
E04000478,South Cliffe,,E06000011,East Riding of Yorkshire,,76
E04000479,Spaldington,,E06000011,East Riding of Yorkshire,,77
E04000480,Sproatley,,E06000011,East Riding of Yorkshire,,78
E04000482,Sunk Island,,E06000011,East Riding of Yorkshire,,79
E04000483,Sutton upon Derwent,,E06000011,East Riding of Yorkshire,,80
E04000484,Swanland,,E06000011,East Riding of Yorkshire,,81
E04000485,Swine,,E06000011,East Riding of Yorkshire,,82
E04000486,Swinefleet,,E06000011,East Riding of Yorkshire,,83
E04000487,Thorngumbald,,E06000011,East Riding of Yorkshire,,84
E04000488,Thornton,,E06000011,East Riding of Yorkshire,,85
E04000489,Thwing,,E06000011,East Riding of Yorkshire,,86
E04000490,Tibthorpe,,E06000011,East Riding of Yorkshire,,87
E04000491,Tickton,,E06000011,East Riding of Yorkshire,,88
E04000492,Twin Rivers,,E06000011,East Riding of Yorkshire,,89
E04000493,Ulrome,,E06000011,East Riding of Yorkshire,,90
E04000494,Walkington,,E06000011,East Riding of Yorkshire,,91
E04000495,Warter,,E06000011,East Riding of Yorkshire,,92
E04000496,Watton,,E06000011,East Riding of Yorkshire,,93
E04000497,Wawne,,E06000011,East Riding of Yorkshire,,94
E04000498,Welton,,E06000011,East Riding of Yorkshire,,95
E04000499,Welwick,,E06000011,East Riding of Yorkshire,,96
E04000500,Wetwang,,E06000011,East Riding of Yorkshire,,97
E04000501,Wilberfoss,,E06000011,East Riding of Yorkshire,,98
E04000502,Withernsea,,E06000011,East Riding of Yorkshire,,99
E04000503,Withernwick,,E06000011,East Riding of Yorkshire,,100
E04000305,Morton Palms,,E06000005,Darlington,,101
E04000307,Piercebridge,,E06000005,Darlington,,102
E04000308,Sadberge,,E06000005,Darlington,,103
E04000310,Summerhouse,,E06000005,Darlington,,104
E04000311,Walworth,,E06000005,Darlington,,105
E04000312,Whessoe,,E06000005,Darlington,,106
E04012649,Archdeacon Newton,,E06000005,Darlington,,107
E04012650,Hurworth,,E06000005,Darlington,,108
E04012651,Middleton St George,,E06000005,Darlington,,109
E04012652,Neasham,,E06000005,Darlington,,110
E04000313,Daresbury,,E06000006,Halton,,111
E04000314,Hale,,E06000006,Halton,,112
E04000315,Moore,,E06000006,Halton,,113
E04000316,Preston Brook,,E06000006,Halton,,114
E04000317,Halebank,,E06000006,Halton,,115
E04000318,Sandymoor,,E06000006,Halton,,116
E04000319,Appleton,,E06000007,Warrington,,117
E04000320,Birchwood,,E06000007,Warrington,,118
E04000321,Burtonwood and Westbrook,,E06000007,Warrington,,119
E04000322,Croft,,E06000007,Warrington,,120
E04000323,Cuerdley,,E06000007,Warrington,,121
E04000324,Culcheth and Glazebury,,E06000007,Warrington,,122
E04000325,Grappenhall and Thelwall,,E06000007,Warrington,,123
E04000326,Great Sankey,,E06000007,Warrington,,124
E04000327,Hatton,,E06000007,Warrington,,125
E04000328,Lymm,,E06000007,Warrington,,126
E04000329,Penketh,,E06000007,Warrington,,127
E04000331,Rixton-with-Glazebrook,,E06000007,Warrington,,128
E04000332,Stockton Heath,,E06000007,Warrington,,129
E04000333,Stretton,,E06000007,Warrington,,130
E04000334,Walton,,E06000007,Warrington,,131
E04000336,Woolston,,E06000007,Warrington,,132
E04013419,Poulton-with-Fearnhead,,E06000007,Warrington,,133
E04013420,Winwick,,E06000007,Warrington,,134
E04000337,Eccleshill,,E06000008,Blackburn with Darwen,,135
E04000339,North Turton,,E06000008,Blackburn with Darwen,,136
E04000340,Pleasington,,E06000008,Blackburn with Darwen,,137
E04000341,Tockholes,,E06000008,Blackburn with Darwen,,138
E04000342,Yate and Pickup Bank,,E06000008,Blackburn with Darwen,,139
E04012080,Darwen,,E06000008,Blackburn with Darwen,,140
E04013124,Livesey,,E06000008,Blackburn with Darwen,,141
E04000343,Airmyn,,E06000011,East Riding of Yorkshire,,142
E04000344,Aldbrough,,E06000011,East Riding of Yorkshire,,143
E04000345,Allerthorpe,,E06000011,East Riding of Yorkshire,,144
E04000346,Asselby,,E06000011,East Riding of Yorkshire,,145
E04000347,Atwick,,E06000011,East Riding of Yorkshire,,146
E04000348,Bainton,,E06000011,East Riding of Yorkshire,,147
E04000349,Barmby Moor,,E06000011,East Riding of Yorkshire,,148
E04000350,Barmby on the Marsh,,E06000011,East Riding of Yorkshire,,149
E04000351,Barmston,,E06000011,East Riding of Yorkshire,,150
E04000402,Goole Fields,,E06000011,East Riding of Yorkshire,,151
E04000403,Gowdall,,E06000011,East Riding of Yorkshire,,152
E04000404,Grindale,,E06000011,East Riding of Yorkshire,,153
E04000405,Halsham,,E06000011,East Riding of Yorkshire,,154
E04000406,Harpham,,E06000011,East Riding of Yorkshire,,155
E04000407,Hatfield,,E06000011,East Riding of Yorkshire,,156
E04000408,Hayton,,E06000011,East Riding of Yorkshire,,157
E04000409,Hedon,,E06000011,East Riding of Yorkshire,,158
E04000410,Hessle,,E06000011,East Riding of Yorkshire,,159
E04000411,Hollym,,E06000011,East Riding of Yorkshire,,160
E04000412,Holme upon Spalding Moor,,E06000011,East Riding of Yorkshire,,161
E04000413,Holmpton,,E06000011,East Riding of Yorkshire,,162
E04000414,Hook,,E06000011,East Riding of Yorkshire,,163
E04000415,Hornsea,,E06000011,East Riding of Yorkshire,,164
E04000416,Hotham,,E06000011,East Riding of Yorkshire,,165
E04000417,Howden,,E06000011,East Riding of Yorkshire,,166
E04000418,Huggate,,E06000011,East Riding of Yorkshire,,167
E04000419,Humbleton,,E06000011,East Riding of Yorkshire,,168
E04000420,Hutton Cranswick,,E06000011,East Riding of Yorkshire,,169
E04000421,Kelk,,E06000011,East Riding of Yorkshire,,170
E04000422,Keyingham,,E06000011,East Riding of Yorkshire,,171
E04000423,Kilham,,E06000011,East Riding of Yorkshire,,172
E04000424,Kilpin,,E06000011,East Riding of Yorkshire,,173
E04000425,Kirby Underdale,,E06000011,East Riding of Yorkshire,,174
E04000426,Kirkburn,,E06000011,East Riding of Yorkshire,,175
E04000427,Langtoft,,E06000011,East Riding of Yorkshire,,176
E04000428,Laxton,,E06000011,East Riding of Yorkshire,,177
E04000429,Leconfield,,E06000011,East Riding of Yorkshire,,178
E04000430,Leven,,E06000011,East Riding of Yorkshire,,179
E04000431,Lockington,,E06000011,East Riding of Yorkshire,,180
E04000432,Londesborough,,E06000011,East Riding of Yorkshire,,181
E04000433,Lund,,E06000011,East Riding of Yorkshire,,182
E04000434,Mappleton,,E06000011,East Riding of Yorkshire,,183
E04000435,Market Weighton,,E06000011,East Riding of Yorkshire,,184
E04000436,Melbourne,,E06000011,East Riding of Yorkshire,,185
E04000437,Middleton,,E06000011,East Riding of Yorkshire,,186
E04000438,Millington,,E06000011,East Riding of Yorkshire,,187
E04000439,Molescroft,,E06000011,East Riding of Yorkshire,,188
E04000440,Nafferton,,E06000011,East Riding of Yorkshire,,189
E04000441,Newbald,,E06000011,East Riding of Yorkshire,,190
E04000442,Newport,,E06000011,East Riding of Yorkshire,,191
E04000443,Newton on Derwent,,E06000011,East Riding of Yorkshire,,192
E04000444,North Cave,,E06000011,East Riding of Yorkshire,,193
E04000445,North Dalton,,E06000011,East Riding of Yorkshire,,194
E04000446,North Ferriby,,E06000011,East Riding of Yorkshire,,195
E04000447,North Frodingham,,E06000011,East Riding of Yorkshire,,196
E04000448,Nunburnholme,,E06000011,East Riding of Yorkshire,,197
E04000449,Ottringham,,E06000011,East Riding of Yorkshire,,198
E04000450,Patrington,,E06000011,East Riding of Yorkshire,,199
E04000451,Paull,,E06000011,East Riding of Yorkshire,,200
E04000552,East Halton,,E06000013,North Lincolnshire,,201
E04000553,Eastoft,,E06000013,North Lincolnshire,,202
E04000554,Elsham,,E06000013,North Lincolnshire,,203
E04000555,Epworth,,E06000013,North Lincolnshire,,204
E04000556,Flixborough,,E06000013,North Lincolnshire,,205
E04000557,Garthorpe and Fockerby,,E06000013,North Lincolnshire,,206
E04000558,Goxhill,,E06000013,North Lincolnshire,,207
