council_id,ons_code,slug,name,type,county,region,principal_authority,source
32834,E04005515,ab-kettleby-parish-council,Ab Kettleby Parish Council,parish,Leicestershire,East Midlands,Melton,excel
35091,E04008656,abbas-and-templecombe-parish-council,Abbas and Templecombe Parish Council,parish,Somerset,South West,Somerset,excel
37185,E04010283,abberley-parish-council,Abberley Parish Council,parish,Worcestershire,West Midlands,Malvern Hills,excel
31654,E04010354,abberton-parish-council,Abberton Parish Council,parish,Essex,East of England,Essex,excel
31632,E04004013,abbess-beauchamp-and-berners-roding-parish-council,"Abbess, Beauchamp and Berners Roding Parish Council",parish,Essex,East of England,Epping Forest,excel
31655,,abbess-beauchamp-and-berners-roding-parish-council-1,Abbess Beauchamp and Berners Roding Parish Council,parish,Essex,East of England,Essex,excel
33196,E04012175,abbey-hill-parish-council,Abbey Hill Parish Council,parish,Milton Keynes,South East,Milton Keynes,excel
32215,,abbeydore-and-bacton-group-parish-council,Abbeydore and Bacton Group Parish Council,parish,Herefordshire,West Midlands,Herefordshire,excel
32081,,abbeydore-bacton-group-parish-council,Abbeydore & Bacton Group Parish Council,parish,Herefordshire,West Midlands,Herefordshire,excel
35408,E04003240,abbots-bickington-parish-council,Abbots Bickington Parish Council,parish,Devon,South West,Torridge,excel
4782,E04008877,abbots-bromley-parish-council,Abbots Bromley Parish Council,parish,Staffordshire,West Midlands,Staffordshire,excel
32317,E04004811,abbots-langley-parish-council,Abbots Langley Parish Council,parish,Hertfordshire,East of England,Three Rivers,excel
30086,E04012019,abbots-ripton-parish-council,Abbots Ripton Parish Council,parish,Cambridgeshire,East of England,Huntingdonshire,excel
6366,,abbotskerswell,Abbotskerswell,parish,Devon,South West,Teignbridge,excel
30982,E04012121,abbotskerswell-parish-council,Abbotskerswell Parish Council,parish,Devon,South West,Teignbridge,excel
30087,E04012018,abbotsley-parish-council,Abbotsley Parish Council,parish,Cambridgeshire,East of England,Huntingdonshire,excel
4943,E04012837,abbotts-ann-parish-council,Abbotts Ann Parish Council,parish,Hampshire,South East,Test Valley,excel
6022,E04012659,abdon-and-heath-parish-council,Abdon and Heath Parish Council,parish,Shropshire,West Midlands,Shropshire,excel
35409,,above-derw-parish-council,Above Derw Parish Council,parish,,North West,,excel
34120,E04006798,abthorpe-parish-council,Abthorpe Parish Council,parish,Northamptonshire,East Midlands,West Northamptonshire,excel
32944,E04005588,aby-with-greenfield-parish-council,Aby with Greenfield Parish Council,parish,Lincolnshire,East Midlands,East Lindsey,excel
35410,E04007710,acaster-selby-parish-council,Acaster Selby Parish Council,parish,,Yorkshire and the Humber,North Yorkshire,excel
6615,E04007542,acklam-parish-meeting,Acklam (Parish Meeting),parish_meeting,North Yorkshire,Yorkshire and the Humber,North Yorkshire,excel
34262,E04010725,acklington-parish-council,Acklington Parish Council,parish,Northumberland,North East,Northumberland,excel
