council_id,slug,name,website_url
37185,abberley-parish-council,Abberley Parish Council,https://www.abberleyparish.org.uk
31632,abbess-beauchamp-and-berners-roding-parish-council,"Abbess, Beauchamp and Berners Roding Parish Council",https://www.abbr-pc.gov.uk
32215,abbeydore-and-bacton-group-parish-council,Abbeydore and Bacton Group Parish Council,https://abbeydoreandbacktongroup-pc.gov.uk/
4782,abbots-bromley-parish-council,Abbots Bromley Parish Council,http://www.abbotsbromley.com/council
30086,abbots-ripton-parish-council,Abbots Ripton Parish Council,https://www.abbotsripton-pc.gov.uk
30087,abbotsley-parish-council,Abbotsley Parish Council,https://www.abbotsleyparishcouncil.gov.uk
4943,abbotts-ann-parish-council,Abbotts Ann Parish Council,https://www.abbottsann-pc.gov.uk
34120,abthorpe-parish-council,Abthorpe Parish Council,https://www.abthorpeparish.gov.uk
4813,acton-parish-council,Acton Parish Council,https://www.actonparishcouncil.gov.uk
34472,adderbury-parish-council,Adderbury Parish Council,https://www.adderburyparishcouncil.gov.uk
