id,slug,council_name,type,county,district,region,website,data_source,ons_code
32834,ab-kettleby-parish-council,Ab Kettleby Parish Council,parish,Leicestershire,Melton,East Midlands,,excel,
35091,abbas-and-templecombe-parish-council,Abbas and Templecombe Parish Council,parish,Somerset,Somerset,South West,,excel,
37185,abberley-parish-council,Abberley Parish Council,parish,Worcestershire,Malvern Hills,West Midlands,https://www.abberleyparish.org.uk,excel,
31654,abberton-parish-council,Abberton Parish Council,parish,Essex,Essex,East of England,,excel,
31655,abbess-beauchamp-and-berners-roding-parish-council-1,Abbess Beauchamp and Berners Roding Parish Council,parish,Essex,Essex,East of England,,excel,
31632,abbess-beauchamp-and-berners-roding-parish-council,"Abbess, Beauchamp and Berners Roding Parish Council",parish,Essex,Epping Forest,East of England,https://www.abbr-pc.gov.uk,excel,
33196,abbey-hill-parish-council,Abbey Hill Parish Council,parish,Milton Keynes,Milton Keynes,South East,,excel,
32081,abbeydore-bacton-group-parish-council,Abbeydore & Bacton Group Parish Council,parish,Herefordshire,Herefordshire,West Midlands,,excel,
32215,abbeydore-and-bacton-group-parish-council,Abbeydore and Bacton Group Parish Council,parish,Herefordshire,Herefordshire,West Midlands,https://abbeydoreandbacktongroup-pc.gov.uk/,excel,
35408,abbots-bickington-parish-council,Abbots Bickington Parish Council,parish,Devon,,South West,,excel,
4782,abbots-bromley-parish-council,Abbots Bromley Parish Council,parish,Staffordshire,Staffordshire,West Midlands,http://www.abbotsbromley.com/council,excel,
32317,abbots-langley-parish-council,Abbots Langley Parish Council,parish,Hertfordshire,Three Rivers,East of England,,excel,
30086,abbots-ripton-parish-council,Abbots Ripton Parish Council,parish,Cambridgeshire,Huntingdonshire,East of England,https://www.abbotsripton-pc.gov.uk,excel,
6366,abbotskerswell,Abbotskerswell,parish,Devon,Teignbridge,South West,,excel,
30982,abbotskerswell-parish-council,Abbotskerswell Parish Council,parish,Devon,Teignbridge,South West,,excel,
30087,abbotsley-parish-council,Abbotsley Parish Council,parish,Cambridgeshire,Huntingdonshire,East of England,https://www.abbotsleyparishcouncil.gov.uk,excel,
4943,abbotts-ann-parish-council,Abbotts Ann Parish Council,parish,Hampshire,Test Valley,South East,https://www.abbottsann-pc.gov.uk,excel,
6022,abdon-and-heath-parish-council,Abdon and Heath Parish Council,parish,Shropshire,Shropshire,West Midlands,,excel,
35409,above-derw-parish-council,Above Derw Parish Council,parish,,,North West,,excel,
34120,abthorpe-parish-council,Abthorpe Parish Council,parish,Northamptonshire,West Northamptonshire,East Midlands,https://www.abthorpeparish.gov.uk,excel,
32944,aby-with-greenfield-parish-council,Aby with Greenfield Parish Council,parish,Lincolnshire,East Lindsey,East Midlands,,excel,
35410,acaster-selby-parish-council,Acaster Selby Parish Council,parish,,,Yorkshire and the Humber,,excel,
6615,acklam-parish-meeting,Acklam (Parish Meeting),parish_meeting,North Yorkshire,North Yorkshire,Yorkshire and the Humber,,excel,
34262,acklington-parish-council,Acklington Parish Council,parish,Northumberland,Northumberland,North East,,excel,
36644,ackworth-parish-council,Ackworth Parish Council,parish,Wakefield,Wakefield,Yorkshire and the Humber,,excel,
5705,acle-parish-council,Acle Parish Council,parish,Norfolk,South Norfolk & Broadland,East of England,,excel,
32566,acol-parish-council,Acol Parish Council,parish,Kent,Thanet,South East,,excel,
34263,acomb-parish-council,Acomb Parish Council,parish,Northumberland,Northumberland,North East,,excel,
32082,aconbury-parish-meeting,Aconbury Parish Meeting,parish_meeting,Herefordshire,Herefordshire,West Midlands,,excel,
32567,acrise-parish-council,Acrise Parish Council,parish,Kent,Folkestone and Hythe,South East,,excel,
32083,acton-beauchamp-group-parish-council,Acton Beauchamp Group Parish Council,parish,Herefordshire,Herefordshire,West Midlands,,excel,
30384,acton-bridge-parish-council,Acton Bridge Parish Council,parish,Cheshire West and Chester,Cheshire West and Chester,North West,,excel,
4813,acton-parish-council,Acton Parish Council,parish,Suffolk,Babergh & Mid Suffolk,East of England,https://www.actonparishcouncil.gov.uk,excel,
36386,acton-round-parish-council,Acton Round Parish Council,parish,Shropshire,,West Midlands,,excel,
35153,acton-trussell-and-bednall-parish-council,Acton Trussell and Bednall Parish Council,parish,Staffordshire,South Staffordshire,West Midlands,,excel,
34472,adderbury-parish-council,Adderbury Parish Council,parish,Oxfordshire,Cherwell,South East,https://www.adderburyparishcouncil.gov.uk,excel,
5847,adderley-parish-council,Adderley Parish Council,parish,Shropshire,Shropshire,West Midlands,,excel,
34264,adderstone-with-lucker-parish-council,Adderstone with Lucker Parish Council,parish,Northumberland,Northumberland,North East,https://www.adderstonewithluckerparish.gov.uk,excel,
6710,addington-meeting,Addington (meeting),parish,Buckinghamshire,Buckinghamshire,South East,,excel,
30063,addington-meeting-parish-council,Addington (meeting) Parish Council,parish_meeting,Buckinghamshire,Buckinghamshire,South East,,excel,
5189,addington-parish-council,Addington Parish Council,parish,Kent,Tonbridge & Malling,South East,https://www.addington-pc.gov.uk,excel,
4093,adisham,Adisham,parish,Kent,Canterbury,South East,https://www.adisham-pc.gov.uk,excel,
31797,adlestrop-parish-meeting,Adlestrop Parish Meeting,parish_meeting,Gloucestershire,Cotswold,South West,,excel,
30253,adlington-parish-council,Adlington Parish Council,parish,Cheshire,Cheshire East,North West,https://www.adlington-pc.org.uk,excel,
36659,admington-parish-council,Admington Parish Council,parish,Warwickshire,Stratford-on-Avon,West Midlands,https://admintonparishcouncil.co.uk,excel,
3753,adstock-parish-council,Adstock Parish Council,parish,Buckinghamshire,Buckinghamshire,South East,https://www.adstockparish.gov.uk,excel,
34121,adstone-parish-meeting,Adstone Parish Meeting,parish_meeting,Northamptonshire,West Northamptonshire,East Midlands,,excel,
6067,advent-parish-meeting,Advent Parish Meeting,parish_meeting,Cornwall,Cornwall,South West,,excel,
6944,adwick-on-dearne-parish-council,Adwick-on-Dearne Parish Council,parish,South Yorkshire,Doncaster,Yorkshire and the Humber,,excel,
36387,agden-parish-council,Agden Parish Council,parish,,,North West,,excel,
32679,aighton-bailey-and-chaigley-parish-council,"Aighton, Bailey and Chaigley Parish Council",parish,Lancashire,Ribble Valley,North West,,excel,
30682,aikton-parish-council,Aikton Parish Council,parish,Cumbria,Cumberland,North West,,excel,
4563,ailsworth-parish-council,Ailsworth Parish Council,parish,Cambridgeshire,Peterborough,East of England,https://www.ailsworth-pc.gov.uk,excel,
35411,ainderby-miers-with-holtby-parish-council,Ainderby Miers with Holtby Parish Council,parish,North Yorkshire,,Yorkshire and the Humber,,excel,
6616,ainderby-quernhow-parish-meeting,Ainderby Quernhow (Parish Meeting),parish_meeting,North Yorkshire,North Yorkshire,Yorkshire and the Humber,,excel,
30797,ainstable-parish-council,Ainstable Parish Council,parish,Cumbria,Westmorland & Furness,North West,https://www.ainstable-pc.gov.uk,excel,
34796,aintree-village-parish-council,Aintree Village Parish Council,parish,Sefton,Sefton,North West,,excel,
31303,airmyn-parish-council,Airmyn Parish Council,parish,East Riding of Yorkshire,East Riding of Yorkshire,Yorkshire and the Humber,https://airmynpc.org.uk,excel,
4689,aislaby,Aislaby,parish,North Yorkshire,North Yorkshire,Yorkshire and the Humber,https://www.aislabyparishcouncil.gov.uk,excel,
33523,aislaby-middleton-and-wrelton-parish-council,"Aislaby, Middleton and Wrelton Parish Council",parish,North Yorkshire,North Yorkshire,Yorkshire and the Humber,,excel,
35412,akebar-parish-council,Akebar Parish Council,parish,North Yorkshire,,Yorkshire and the Humber,,excel,
3754,akeley-parish-council,Akeley Parish Council,parish,Buckinghamshire,Buckinghamshire,South East,https://www.akeleyparishcouncil.gov.uk,excel,
6770,akenham-parish-meeting,Akenham Parish Meeting,parish_meeting,Suffolk,Babergh & Mid Suffolk,East of England,,excel,
37052,albourne-parish-council,Albourne Parish Council,parish,West Sussex,Mid Sussex,South East,https://www.albourne-pc.gov.uk,excel,
4343,albrighton-donington-parish-council,Albrighton & Donington Parish Council,parish,Shropshire,Shropshire,West Midlands,https://www.albrightondonington-pc.gov.uk,excel,
34820,albrighton-parish-council,Albrighton Parish Council,parish,Shropshire,Shropshire,West Midlands,,excel,
6234,alburgh-parish-council,Alburgh Parish Council,parish,Norfolk,South Norfolk & Broadland,East of England,,excel,
32268,albury-parish-council,Albury Parish Council,parish,Hertfordshire,East Hertfordshire,East of England,,excel,
33211,alby-with-thwaite-parish-council,Alby with Thwaite Parish Council,parish,Norfolk,North Norfolk,East of England,,excel,
36660,alcester-town-council,Alcester Town Council,town,Warwickshire,Stratford-on-Avon,West Midlands,,excel,
6721,alciston-parish-meeting,Alciston Parish Meeting,parish_meeting,East Sussex,East Sussex,South East,,excel,
30088,alconbury-parish-council,Alconbury Parish Council,parish,Cambridgeshire,Huntingdonshire,East of England,https://www.alconburyparishcouncil.gov.uk,excel,
30089,alconbury-weston-parish-council,Alconbury Weston Parish Council,parish,Cambridgeshire,Huntingdonshire,East of England,https://www.alconburyweston-pc.gov.uk,excel,
33417,aldborough-thurgarton-parish-council,Aldborough & Thurgarton Parish Council,parish,Norfolk,North Norfolk,East of England,,excel,
33212,aldborough-and-thurgarton-parish-council,Aldborough and Thurgarton Parish Council,parish,Norfolk,North Norfolk,East of England,https://www.aldboroughandthurgarton.gov.uk,excel,
4854,aldbourne-parish-council,Aldbourne Parish Council,parish,Wiltshire,Wiltshire,South West,https://www.aldbourne-pc.gov.uk,excel,
31304,aldbrough-parish-council,Aldbrough Parish Council,parish,East Riding of Yorkshire,East Riding of Yorkshire,Yorkshire and the Humber,https://aldbroughparishcouncil.co.uk,excel,
4968,aldbrough-st-john,Aldbrough St John,parish,North Yorkshire,North Yorkshire,Yorkshire and the Humber,https://www.aldbroughstjohnparishcouncil.gov.uk,excel,
33524,aldbrough-st-john-parish-council,Aldbrough St John Parish Council,parish,North Yorkshire,North Yorkshire,Yorkshire and the Humber,https://www.aldbroughstjohnparishcouncil.gov.uk,excel,
32779,aldcliffe-with-stodday-parish-council,Aldcliffe-with-Stodday Parish Council,parish,Lancashire,Lancaster,North West,,excel,
4192,aldeby-parish-council,Aldeby Parish Council,parish,Norfolk,South Norfolk & Broadland,East of England,https://www.aldebyparishcouncil.gov.uk,excel,
32318,aldenham-parish-council,Aldenham Parish Council,parish,Hertfordshire,Hertsmere,East of England,,excel,
